prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
3655.0,195.0,208.5680058002472,27.110097408294678,66,-1.0,1743928242.5071516,1743928478.185256
3141.0,366.0,209.95170426368713,72.46952033042908,67,-1.0,1743928242.607599,1743928525.0288246
23701.0,26.0,217.75698351860046,5.403489589691162,68,-1.0,1743928242.7101343,1743928465.870608
6225.0,542.0,222.1204319000244,90.5823745727539,69,-1.0,1743928242.8113937,1743928555.5142014
8795.0,439.0,222.01969051361084,85.83311414718628,70,-1.0,1743928242.9127164,1743928550.7655218
8795.0,387.0,221.9190993309021,68.15243291854858,71,-1.0,1743928243.0138516,1743928533.0853846
12393.0,237.0,222.91559863090515,43.63355851173401,72,-1.0,1743928245.4205697,1743928511.9697278
28841.0,603.0,231.94951581954956,105.69164037704468,73,-1.0,1743928245.5226407,1743928583.1637971
27299.0,3.0,239.13438987731934,0.08889079093933105,74,-1.0,1743928245.6250532,1743928484.8483348
2627.0,347.0,239.03322792053223,67.14883661270142,75,-1.0,1743928245.7255712,1743928551.9076366
37065.0,255.0,249.22262477874756,38.58751130104065,76,-1.0,1743928245.9004385,1743928533.7105753
1599.0,290.0,246.61751556396484,55.600682973861694,77,-1.0,1743928248.5049336,1743928550.7231328
18561.0,387.0,251.23630499839783,56.158921003341675,78,-1.0,1743928248.606737,1743928556.0019639
35523.0,538.0,262.44075107574463,81.55155634880066,79,-1.0,1743928248.7101817,1743928592.70249
1085.0,48.0,262.34101271629333,9.63534665107727,80,-1.0,1743928248.810569,1743928520.7869291
15991.0,629.0,266.24497079849243,111.2191812992096,81,-1.0,1743928248.9119346,1743928626.3760877
9823.0,632.0,271.4346761703491,111.63950681686401,82,-1.0,1743928249.0135553,1743928632.087739
13421.0,460.0,271.3323097229004,70.76954865455627,83,-1.0,1743928249.1153102,1743928591.2171698
18047.0,345.0,275.2497479915619,51.606674909591675,84,-1.0,1743928249.217281,1743928576.073705
8281.0,1.0,280.4234826564789,0.0376744270324707,85,-1.0,1743928249.3183775,1743928529.7795353
11365.0,596.0,280.32145953178406,102.0253279209137,86,-1.0,1743928249.419532,1743928631.7663207
4683.0,362.0,280.1334111690521,47.75337767601013,87,-1.0,1743928249.5201323,1743928577.4069223
43233.0,464.0,297.47290563583374,50.45029664039612,88,-1.0,1743928251.6310694,1743928599.5542724
10851.0,34.0,297.37121057510376,1.5731196403503418,89,-1.0,1743928251.7334442,1743928550.677775
13935.0,492.0,297.26961517333984,77.7916350364685,90,-1.0,1743928251.835556,1743928626.896807
50429.0,549.0,320.5039563179016,67.33062958717346,91,-1.0,1743928251.9827461,1743928639.817333
17533.0,440.0,320.40323400497437,63.17721462249756,92,-1.0,1743928252.0840003,1743928635.6644506
21645.0,563.0,327.39456248283386,110.93218922615051,93,-1.0,1743928254.4907472,1743928692.8174999
29869.0,448.0,335.1103847026825,51.700199842453,94,-1.0,1743928254.5930405,1743928641.403626
18047.0,35.0,341.5975193977356,1.3304047584533691,95,-1.0,1743928254.6947784,1743928597.6227036
82811.0,683.0,369.5003728866577,94.75262880325317,96,-1.0,1743928254.8708348,1743928719.1238377
26271.0,578.0,376.36224937438965,75.83225083351135,97,-1.0,1743928254.9733245,1743928707.1678257
121361.0,580.0,431.5885238647461,61.46881151199341,98,-1.0,1743928255.2377563,1743928748.2950928
1599.0,514.0,431.48288583755493,51.85399317741394,99,-1.0,1743928255.338582,1743928738.6754622
1085.0,265.0,431.39319348335266,17.762876749038696,100,-1.0,1743928255.4389987,1743928704.5950694
3141.0,613.0,429.3726212978363,125.82194805145264,101,-1.0,1743928257.4442728,1743928812.6388428
8795.0,593.0,437.044322013855,128.5757977962494,102,-1.0,1743928257.5456624,1743928823.1657827
2113.0,31.0,436.94571685791016,2.658074140548706,103,-1.0,1743928257.646276,1743928697.2500677
2627.0,508.0,436.84399676322937,117.13839149475098,104,-1.0,1743928257.7469885,1743928811.7293773
11879.0,373.0,436.7391655445099,40.14029383659363,105,-1.0,1743928257.8487544,1743928734.7282145
1599.0,505.0,436.63949489593506,116.79157185554504,106,-1.0,1743928257.9494562,1743928811.380524
2627.0,621.0,439.2009177207947,128.96852111816406,107,-1.0,1743928258.049818,1743928826.2192576
12393.0,529.0,453.2524745464325,130.803542137146,108,-1.0,1743928258.1518295,1743928842.207847
13935.0,17.0,450.94821882247925,2.6564416885375977,109,-1.0,1743928260.4567552,1743928714.0614169
13935.0,358.0,455.9032709598541,107.95497226715088,110,-1.0,1743928260.558714,1743928824.4169579
17019.0,182.0,469.89390873908997,50.21097946166992,111,-1.0,1743928260.6598227,1743928780.7647119
23187.0,463.0,469.7925794124603,116.58061003684998,112,-1.0,1743928260.761614,1743928847.134805
8795.0,306.0,469.692223072052,94.27689003944397,113,-1.0,1743928260.8624117,1743928824.8315258
9823.0,160.0,469.5885579586029,11.550638198852539,114,-1.0,1743928260.9636836,1743928742.102881
3655.0,228.0,469.4907524585724,85.02311611175537,115,-1.0,1743928261.0643504,1743928815.57822
1599.0,223.0,469.387891292572,84.73942685127258,116,-1.0,1743928261.1648712,1743928815.2921896
8795.0,232.0,469.28969955444336,85.30506587028503,117,-1.0,1743928261.266086,1743928815.8608515
87951.0,7.0,516.6152946949005,0.8406753540039062,120,-1.0,1743928263.6210604,1743928781.0770328
6225.0,89.0,516.4130969047546,39.353325605392456,122,-1.0,1743928263.8238363,1743928819.59026
15991.0,338.0,516.3116316795349,70.71984052658081,123,-1.0,1743928263.9258103,1743928850.9572833
27813.0,216.0,544.2438952922821,18.421494722366333,129,-1.0,1743928266.6898632,1743928829.355254
6739.0,28.0,547.2658495903015,4.193065404891968,130,-1.0,1743928266.790788,1743928818.249704
3141.0,111.0,553.5744071006775,5.5916736125946045,134,-1.0,1743928269.6011229,1743928828.7672045
50404.0,173.0,569.6367819309235,16.809455156326294,135,-1.0,1743928269.7485776,1743928856.1948156
21645.0,111.0,576.4292285442352,9.281699657440186,137,-1.0,1743928269.9535365,1743928855.6644654
2113.0,10.0,578.1868274211884,0.6621315479278564,139,-1.0,1743928270.1550708,1743928849.0040314
